provinsi,total_produksi,avg_yield,std_yield,total_luas,bulan_aktif,produksi_per_bulan,cluster,cluster_label
ACEH,1615200.08,5.62915968099141,0.22111963104388888,283182.02,12,134600.00666666668,0,Cluster 2 - Produksi Tinggi
BALI,587866.28,6.103871891984727,0.23174106794761762,96444.29,12,48988.85666666667,0,Cluster 2 - Produksi Tinggi
BANTEN,1774016.87,5.09139393246572,0.3013502123844798,345420.54,12,147834.73916666667,0,Cluster 2 - Produksi Tinggi
BENGKULU,266567.39,5.133568919807761,0.2605849634802972,51653.880000000005,12,22213.94916666667,0,Cluster 2 - Produksi Tinggi
DI YOGYAKARTA,547510.1,5.186486647036244,0.2880637208008035,107224.23,12,45625.84166666667,0,Cluster 2 - Produksi Tinggi
DKI JAKARTA,1487.45,5.354579539276228,0.4197825882903317,273.54,12,123.95416666666667,0,Cluster 2 - Produksi Tinggi
GORONTALO,281171.26,5.1741358749545805,0.28595003786320217,53896.54,12,23430.938333333335,0,Cluster 2 - Produksi Tinggi
JAMBI,367791.0,4.6113326114372155,0.2497316280046556,80373.16,12,30649.25,1,Cluster 3 - Produksi Menengah
JAWA BARAT,10226653.75,5.8320028235968415,0.1891308589424693,1755300.21,12,852221.1458333334,2,Cluster 1 - Lumbung Padi
JAWA TENGAH,9304062.84,5.56642296208453,0.33741387304684306,1674994.1300000001,12,775338.57,2,Cluster 1 - Lumbung Padi
JAWA TIMUR,10438360.58,5.698564563426075,0.2396197345430198,1841346.29,12,869863.3816666667,2,Cluster 1 - Lumbung Padi
KALIMANTAN BARAT,757829.16,2.9617436752774267,0.1643134286678909,263551.5,12,63152.43,1,Cluster 3 - Produksi Menengah
KALIMANTAN SELATAN,1179338.37,4.1892598796634015,0.3122558371315587,290332.45,12,98278.19750000001,1,Cluster 3 - Produksi Menengah
KALIMANTAN TENGAH,333428.63,3.4994692643135608,0.44083466781858865,97151.49,12,27785.719166666666,1,Cluster 3 - Produksi Menengah
KALIMANTAN TIMUR,270866.92,3.9997536054026064,0.29030772579096403,66517.91,12,22572.243333333332,1,Cluster 3 - Produksi Menengah
KALIMANTAN UTARA,38038.08,3.796783945510651,0.28614167683954417,10209.52,12,3169.84,1,Cluster 3 - Produksi Menengah
KEP. BANGKA BELITUNG,64303.5,3.8933926012450324,0.8831477433938162,16286.54,12,5358.625,3,Cluster 4 - Produksi Rendah
KEP. RIAU,688.29,3.0095782738540833,0.6066967374350064,216.07,12,57.357499999999995,3,Cluster 4 - Produksi Rendah
LAMPUNG,3252627.27,5.393085479030039,0.21376229303788333,596017.06,12,271052.2725,0,Cluster 2 - Produksi Tinggi
MALUKU,103818.57,4.222182303327945,0.22975810937816357,24322.69,12,8651.5475,1,Cluster 3 - Produksi Menengah
MALUKU UTARA,22641.62,3.4098513822192724,0.35107042435098934,6655.17,12,1886.8016666666665,1,Cluster 3 - Produksi Menengah
NUSA TENGGARA BARAT,1708618.85,5.2694293896667945,0.15770139740259634,322895.72000000003,12,142384.90416666667,0,Cluster 2 - Produksi Tinggi
NUSA TENGGARA TIMUR,968324.36,4.528342401816481,0.29891402746248497,212089.62,12,80693.69666666667,1,Cluster 3 - Produksi Menengah
PAPUA,1859.06,4.227175876219206,0.36954640428224855,432.47,12,154.92166666666665,1,Cluster 3 - Produksi Menengah
PAPUA BARAT,13365.789999999999,4.982927163474629,0.8734600498758057,2663.07,12,1113.8158333333333,3,Cluster 4 - Produksi Rendah
PAPUA BARAT DAYA,830.38,2.697754517239048,0.08225995322327546,310.48,12,69.19833333333334,1,Cluster 3 - Produksi Menengah
PAPUA PEGUNUNGAN,346.31000000000006,4.71835347556896,0.8445219158202586,78.72999999999999,12,28.85916666666667,3,Cluster 4 - Produksi Rendah
PAPUA SELATAN,362542.11,4.528761452462821,0.23678572109546803,79433.92,12,30211.8425,1,Cluster 3 - Produksi Menengah
PAPUA TENGAH,3805.44,3.7905142423336518,0.11517499068054798,999.22,12,317.12,1,Cluster 3 - Produksi Menengah
RIAU,232071.27,3.9690877678316396,0.7035202403523426,59502.100000000006,12,19339.2725,3,Cluster 4 - Produksi Rendah
SULAWESI BARAT,386084.41000000003,5.121733113576275,0.45593776594348856,74097.88,12,32173.700833333336,0,Cluster 2 - Produksi Tinggi
SULAWESI SELATAN,5466592.36,5.2351851972426555,0.3397286480765627,1041700.66,12,455549.36333333334,0,Cluster 2 - Produksi Tinggi
SULAWESI TENGAH,920086.08,4.611051489001201,0.17346671919655454,198289.64,12,76673.84,1,Cluster 3 - Produksi Menengah
SULAWESI TENGGARA,680820.2000000001,4.501276937708679,0.1270025318673224,151810.9,12,56735.01666666667,1,Cluster 3 - Produksi Menengah
SULAWESI UTARA,265111.82,4.457440971369644,0.19434021278195696,59912.13,12,22092.65166666667,1,Cluster 3 - Produksi Menengah
SUMATERA BARAT,1382696.68,4.874298507616082,0.20070790159689694,284075.59,12,115224.72333333333,0,Cluster 2 - Produksi Tinggi
SUMATERA SELATAN,3627022.14,5.698394252363592,0.4327575049159263,636315.64,12,302251.84500000003,0,Cluster 2 - Produksi Tinggi
SUMATERA UTARA,2752655.35,5.155978787792548,0.22788232985462503,535009.2,12,229387.94583333333,0,Cluster 2 - Produksi Tinggi
