komoditas,tanggal,tahun,bulan,harga
Beras Kualitas Bawah I,2024-01-01,2024,1,13550
Beras Kualitas Bawah II,2024-01-01,2024,1,13200
Beras Kualitas Medium I,2024-01-01,2024,1,14650
Beras Kualitas Medium II,2024-01-01,2024,1,14400
Beras Kualitas Super I,2024-01-01,2024,1,15850
Beras Kualitas Super II,2024-01-01,2024,1,15350
Beras Kualitas Bawah I,2024-02-01,2024,2,13850
Beras Kualitas Bawah II,2024-02-01,2024,2,13650
Beras Kualitas Medium I,2024-02-01,2024,2,14950
Beras Kualitas Medium II,2024-02-01,2024,2,14850
Beras Kualitas Super I,2024-02-01,2024,2,16300
Beras Kualitas Super II,2024-02-01,2024,2,15800
Beras Kualitas Bawah I,2024-03-01,2024,3,14650
Beras Kualitas Bawah II,2024-03-01,2024,3,14400
Beras Kualitas Medium I,2024-03-01,2024,3,15950
Beras Kualitas Medium II,2024-03-01,2024,3,15750
Beras Kualitas Super I,2024-03-01,2024,3,17250
Beras Kualitas Super II,2024-03-01,2024,3,16700
Beras Kualitas Bawah I,2024-04-01,2024,4,14700
Beras Kualitas Bawah II,2024-04-01,2024,4,14400
Beras Kualitas Medium I,2024-04-01,2024,4,15950
Beras Kualitas Medium II,2024-04-01,2024,4,15700
Beras Kualitas Super I,2024-04-01,2024,4,17200
Beras Kualitas Super II,2024-04-01,2024,4,16700
Beras Kualitas Bawah I,2024-05-01,2024,5,14250
Beras Kualitas Bawah II,2024-05-01,2024,5,13950
Beras Kualitas Medium I,2024-05-01,2024,5,15550
Beras Kualitas Medium II,2024-05-01,2024,5,15200
Beras Kualitas Super I,2024-05-01,2024,5,16800
Beras Kualitas Super II,2024-05-01,2024,5,16400
Beras Kualitas Bawah I,2024-06-03,2024,6,14200
Beras Kualitas Bawah II,2024-06-03,2024,6,13850
Beras Kualitas Medium I,2024-06-03,2024,6,15450
Beras Kualitas Medium II,2024-06-03,2024,6,15200
Beras Kualitas Super I,2024-06-03,2024,6,16800
Beras Kualitas Super II,2024-06-03,2024,6,16350
Beras Kualitas Bawah I,2024-07-01,2024,7,14050
Beras Kualitas Bawah II,2024-07-01,2024,7,13850
Beras Kualitas Medium I,2024-07-01,2024,7,15450
Beras Kualitas Medium II,2024-07-01,2024,7,15350
Beras Kualitas Super I,2024-07-01,2024,7,16850
Beras Kualitas Super II,2024-07-01,2024,7,16300
Beras Kualitas Bawah I,2024-08-01,2024,8,14150
Beras Kualitas Bawah II,2024-08-01,2024,8,13900
Beras Kualitas Medium I,2024-08-01,2024,8,15450
Beras Kualitas Medium II,2024-08-01,2024,8,15400
Beras Kualitas Super I,2024-08-01,2024,8,16850
Beras Kualitas Super II,2024-08-01,2024,8,16300
Beras Kualitas Bawah I,2024-09-02,2024,9,14050
Beras Kualitas Bawah II,2024-09-02,2024,9,13850
Beras Kualitas Medium I,2024-09-02,2024,9,15400
Beras Kualitas Medium II,2024-09-02,2024,9,15350
Beras Kualitas Super I,2024-09-02,2024,9,16850
Beras Kualitas Super II,2024-09-02,2024,9,16300
Beras Kualitas Bawah I,2024-10-01,2024,10,14050
Beras Kualitas Bawah II,2024-10-01,2024,10,13850
Beras Kualitas Medium I,2024-10-01,2024,10,15400
Beras Kualitas Medium II,2024-10-01,2024,10,15300
Beras Kualitas Super I,2024-10-01,2024,10,16750
Beras Kualitas Super II,2024-10-01,2024,10,16300
Beras Kualitas Bawah I,2024-11-01,2024,11,14000
Beras Kualitas Bawah II,2024-11-01,2024,11,13750
Beras Kualitas Medium I,2024-11-01,2024,11,15350
Beras Kualitas Medium II,2024-11-01,2024,11,15250
Beras Kualitas Super I,2024-11-01,2024,11,16700
Beras Kualitas Super II,2024-11-01,2024,11,16250
Beras Kualitas Bawah I,2024-12-02,2024,12,14000
Beras Kualitas Bawah II,2024-12-02,2024,12,13750
Beras Kualitas Medium I,2024-12-02,2024,12,15300
Beras Kualitas Medium II,2024-12-02,2024,12,15200
Beras Kualitas Super I,2024-12-02,2024,12,16650
Beras Kualitas Super II,2024-12-02,2024,12,16200
Beras Kualitas Bawah I,2025-01-01,2025,1,13850
Beras Kualitas Bawah II,2025-01-01,2025,1,13600
Beras Kualitas Medium I,2025-01-01,2025,1,15100
Beras Kualitas Medium II,2025-01-01,2025,1,14950
Beras Kualitas Super I,2025-01-01,2025,1,16450
Beras Kualitas Super II,2025-01-01,2025,1,16050
Beras Kualitas Bawah I,2025-02-03,2025,2,14050
Beras Kualitas Bawah II,2025-02-03,2025,2,13800
Beras Kualitas Medium I,2025-02-03,2025,2,15300
Beras Kualitas Medium II,2025-02-03,2025,2,15200
Beras Kualitas Super I,2025-02-03,2025,2,16650
Beras Kualitas Super II,2025-02-03,2025,2,16200
Beras Kualitas Bawah I,2025-03-03,2025,3,14050
Beras Kualitas Bawah II,2025-03-03,2025,3,13800
Beras Kualitas Medium I,2025-03-03,2025,3,15350
Beras Kualitas Medium II,2025-03-03,2025,3,15200
Beras Kualitas Super I,2025-03-03,2025,3,16650
Beras Kualitas Super II,2025-03-03,2025,3,16250
Beras Kualitas Bawah I,2025-04-01,2025,4,14100
Beras Kualitas Bawah II,2025-04-01,2025,4,13850
Beras Kualitas Medium I,2025-04-01,2025,4,15400
Beras Kualitas Medium II,2025-04-01,2025,4,15250
Beras Kualitas Super I,2025-04-01,2025,4,16750
Beras Kualitas Super II,2025-04-01,2025,4,16300
Beras Kualitas Bawah I,2025-05-01,2025,5,14100
Beras Kualitas Bawah II,2025-05-01,2025,5,13900
Beras Kualitas Medium I,2025-05-01,2025,5,15400
Beras Kualitas Medium II,2025-05-01,2025,5,15250
Beras Kualitas Super I,2025-05-01,2025,5,16700
Beras Kualitas Super II,2025-05-01,2025,5,16250
Beras Kualitas Bawah I,2025-06-02,2025,6,14250
Beras Kualitas Bawah II,2025-06-02,2025,6,14000
Beras Kualitas Medium I,2025-06-02,2025,6,15500
Beras Kualitas Medium II,2025-06-02,2025,6,15400
Beras Kualitas Super I,2025-06-02,2025,6,16800
Beras Kualitas Super II,2025-06-02,2025,6,16350
Beras Kualitas Bawah I,2025-07-01,2025,7,14450
Beras Kualitas Bawah II,2025-07-01,2025,7,14250
Beras Kualitas Medium I,2025-07-01,2025,7,15750
Beras Kualitas Medium II,2025-07-01,2025,7,15600
Beras Kualitas Super I,2025-07-01,2025,7,17000
Beras Kualitas Super II,2025-07-01,2025,7,16550
Beras Kualitas Bawah I,2025-08-01,2025,8,14700
Beras Kualitas Bawah II,2025-08-01,2025,8,14500
Beras Kualitas Medium I,2025-08-01,2025,8,16050
Beras Kualitas Medium II,2025-08-01,2025,8,15900
Beras Kualitas Super I,2025-08-01,2025,8,17250
Beras Kualitas Super II,2025-08-01,2025,8,16750
Beras Kualitas Bawah I,2025-09-01,2025,9,14600
Beras Kualitas Bawah II,2025-09-01,2025,9,14500
Beras Kualitas Medium I,2025-09-01,2025,9,16050
Beras Kualitas Medium II,2025-09-01,2025,9,15900
Beras Kualitas Super I,2025-09-01,2025,9,17250
Beras Kualitas Super II,2025-09-01,2025,9,16750
Beras Kualitas Bawah I,2025-10-01,2025,10,14550
Beras Kualitas Bawah II,2025-10-01,2025,10,14450
Beras Kualitas Medium I,2025-10-01,2025,10,16000
Beras Kualitas Medium II,2025-10-01,2025,10,15800
Beras Kualitas Super I,2025-10-01,2025,10,17200
Beras Kualitas Super II,2025-10-01,2025,10,16700
Beras Kualitas Bawah I,2025-11-03,2025,11,14450
Beras Kualitas Bawah II,2025-11-03,2025,11,14300
Beras Kualitas Medium I,2025-11-03,2025,11,15900
Beras Kualitas Medium II,2025-11-03,2025,11,15750
Beras Kualitas Super I,2025-11-03,2025,11,17100
Beras Kualitas Super II,2025-11-03,2025,11,16600
Beras Kualitas Bawah I,2025-12-01,2025,12,14350
Beras Kualitas Bawah II,2025-12-01,2025,12,14300
Beras Kualitas Medium I,2025-12-01,2025,12,15850
Beras Kualitas Medium II,2025-12-01,2025,12,15700
Beras Kualitas Super I,2025-12-01,2025,12,17050
Beras Kualitas Super II,2025-12-01,2025,12,16600
Beras Kualitas Bawah I,2026-01-01,2026,1,14400
Beras Kualitas Bawah II,2026-01-01,2026,1,14400
Beras Kualitas Medium I,2026-01-01,2026,1,15900
Beras Kualitas Medium II,2026-01-01,2026,1,15800
Beras Kualitas Super I,2026-01-01,2026,1,17100
Beras Kualitas Super II,2026-01-01,2026,1,16650
Beras Kualitas Bawah I,2026-02-02,2026,2,14400
Beras Kualitas Bawah II,2026-02-02,2026,2,14400
Beras Kualitas Medium I,2026-02-02,2026,2,15950
Beras Kualitas Medium II,2026-02-02,2026,2,15750
Beras Kualitas Super I,2026-02-02,2026,2,17150
Beras Kualitas Super II,2026-02-02,2026,2,16700
Beras Kualitas Bawah I,2026-03-02,2026,3,14450
Beras Kualitas Bawah II,2026-03-02,2026,3,14500
Beras Kualitas Medium I,2026-03-02,2026,3,15950
Beras Kualitas Medium II,2026-03-02,2026,3,15800
Beras Kualitas Super I,2026-03-02,2026,3,17200
Beras Kualitas Super II,2026-03-02,2026,3,16700
Beras Kualitas Bawah I,2026-04-01,2026,4,14500
Beras Kualitas Bawah II,2026-04-01,2026,4,14500
Beras Kualitas Medium I,2026-04-01,2026,4,16000
Beras Kualitas Medium II,2026-04-01,2026,4,15900
Beras Kualitas Super I,2026-04-01,2026,4,17250
Beras Kualitas Super II,2026-04-01,2026,4,16800
